timestamp,value,samples
2026-05-14T21:00:00Z,1.57,1
2026-05-14T23:00:00Z,10.14,4
2026-05-14T23:30:00Z,8.19,1
2026-05-15T00:30:00Z,19.44,17
2026-05-15T02:30:00Z,11.54,12
2026-05-15T05:30:00Z,1.67,12
2026-05-15T06:00:00Z,9.13,4
2026-05-15T06:30:00Z,4.70,3
2026-05-15T07:00:00Z,1.52,1
2026-05-15T07:30:00Z,5.68,3
2026-05-15T08:00:00Z,2.94,2
2026-05-15T08:30:00Z,3.91,3
2026-05-15T09:00:00Z,4.60,3
2026-05-15T09:30:00Z,5.20,2
2026-05-15T10:00:00Z,4.89,3
2026-05-15T10:30:00Z,5.03,3
2026-05-15T11:00:00Z,6.09,3
2026-05-15T11:30:00Z,4.46,3
2026-05-15T12:00:00Z,5.51,3
2026-05-15T12:30:00Z,5.67,3
2026-05-15T13:00:00Z,4.05,3
2026-05-15T13:30:00Z,4.74,3
2026-05-15T14:00:00Z,4.28,3
2026-05-15T14:30:00Z,4.54,3
2026-05-15T15:00:00Z,5.68,3
2026-05-15T15:30:00Z,4.33,3
2026-05-15T16:00:00Z,4.87,3
2026-05-15T16:30:00Z,3.10,2
2026-05-15T17:00:00Z,1.48,1
2026-05-15T19:30:00Z,24.89,24
2026-05-15T20:00:00Z,100.00,67
2026-05-15T20:30:00Z,67.86,42
2026-05-15T21:00:00Z,35.40,40
2026-05-15T21:30:00Z,28.20,31
2026-05-15T22:00:00Z,41.06,48
2026-05-15T22:30:00Z,44.84,42
