timestamp,event_type,reason,coverage_root,root_age_seconds,full_pass_completed,seconds_since_completed_full_pass,records_seen,current_run_records,coverage_files,materialized_active_run_dirs,materialized_running_groups,supervisor_status_counts,desired_target,desired_max,estimated_lost_seconds,estimated_lost_records
2026-05-22T04:48:30Z,in_place_budget,e2e_floor_repair,/media/volume/danluu-fuzz-data/rtc-coverage-guided-20260515/run-20260522T041414Z,2056,1,318,3371,2,4,,,groups:4->4,4,5,0,0
2026-05-22T04:50:33Z,restart,coverage_breadth_floor,/media/volume/danluu-fuzz-data/rtc-coverage-guided-20260515/run-20260522T041414Z,2179,1,441,3401,6,4,4,4,disabled:3|running:4,6,7,441,6
2026-05-22T04:53:07Z,in_place_budget,large_headroom,/media/volume/danluu-fuzz-data/rtc-coverage-guided-20260515/run-20260522T045104Z,123,0,,3401,6,0,,,groups:5->4,3,4,0,0
2026-05-22T04:59:17Z,in_place_budget,coverage_breadth_floor,/media/volume/danluu-fuzz-data/rtc-coverage-guided-20260515/run-20260522T045104Z,493,0,,3433,0,5,,,groups:6->6,5,6,0,0
2026-05-22T05:11:36Z,restart,coverage_breadth_floor,/media/volume/danluu-fuzz-data/rtc-coverage-guided-20260515/run-20260522T045104Z,1232,1,309,3507,15,5,5,5,disabled:1|running:5,7,8,309,15
2026-05-22T05:32:38Z,restart,coverage_breadth_floor,/media/volume/danluu-fuzz-data/rtc-coverage-guided-20260515/run-20260522T051136Z,1262,1,273,3573,7,5,5,5,disabled:4|running:5,9,10,273,7
2026-05-22T05:39:20Z,in_place_budget,coverage_breadth_floor,/media/volume/danluu-fuzz-data/rtc-coverage-guided-20260515/run-20260522T053238Z,402,0,,3662,0,5,,,groups:10->10,10,11,0,0
2026-05-22T05:45:30Z,in_place_budget,steady,/media/volume/danluu-fuzz-data/rtc-coverage-guided-20260515/run-20260522T053238Z,772,0,,3662,9,10,,,groups:4->4,4,5,0,0
2026-05-22T05:53:42Z,restart,coverage_breadth_floor,/media/volume/danluu-fuzz-data/rtc-coverage-guided-20260515/run-20260522T053238Z,1264,1,11,3827,27,4,4,4,disabled:6|error:1|running:4,6,7,11,27
2026-05-22T06:01:41Z,in_place_budget,high_pressure,/media/volume/danluu-fuzz-data/rtc-coverage-guided-20260515/run-20260522T055342Z,479,0,,3860,0,5,,,groups:5->3,2,3,0,0
2026-05-22T06:28:27Z,in_place_budget,modest_headroom,/media/volume/danluu-fuzz-data/rtc-coverage-guided-20260515/run-20260522T055342Z,2085,1,464,4051,33,5,,,groups:5->5,4,5,0,0
2026-05-22T06:32:34Z,in_place_budget,high_pressure,/media/volume/danluu-fuzz-data/rtc-coverage-guided-20260515/run-20260522T055342Z,2332,1,144,4051,40,5,,,groups:5->3,2,3,0,0
2026-05-22T06:38:57Z,in_place_budget,modest_headroom,/media/volume/danluu-fuzz-data/rtc-coverage-guided-20260515/run-20260522T055342Z,2715,1,527,4051,40,5,,,groups:5->5,4,5,0,0
2026-05-22T06:43:03Z,restart,modest_headroom,/media/volume/danluu-fuzz-data/rtc-coverage-guided-20260515/run-20260522T055342Z,2961,1,154,4099,0,5,5,5,disabled:2|running:5,6,7,154,4099
2026-05-22T06:45:30Z,in_place_budget,modest_headroom,/media/volume/danluu-fuzz-data/rtc-coverage-guided-20260515/run-20260522T064303Z,147,1,301,4099,0,0,,,groups:6->4,3,4,0,0
2026-05-22T06:51:40Z,in_place_budget,high_pressure,/media/volume/danluu-fuzz-data/rtc-coverage-guided-20260515/run-20260522T064303Z,517,1,671,4165,0,5,,,groups:5->3,2,3,0,0
2026-05-22T07:06:10Z,in_place_budget,modest_headroom,/media/volume/danluu-fuzz-data/rtc-coverage-guided-20260515/run-20260522T064303Z,1387,1,77,4280,0,2,,,groups:8->8,4,5,0,0
2026-05-22T07:08:13Z,in_place_budget,high_pressure,/media/volume/danluu-fuzz-data/rtc-coverage-guided-20260515/run-20260522T064303Z,1510,1,200,4280,0,7,,,groups:8->3,2,3,0,0
2026-05-22T07:33:03Z,in_place_budget,modest_headroom,/media/volume/danluu-fuzz-data/rtc-coverage-guided-20260515/run-20260522T064303Z,3000,1,496,4370,5,4,,,groups:5->5,4,5,0,0
2026-05-22T07:35:08Z,in_place_budget,high_pressure,/media/volume/danluu-fuzz-data/rtc-coverage-guided-20260515/run-20260522T064303Z,3125,1,39,4408,14,4,,,groups:5->3,2,3,0,0
2026-05-22T07:41:22Z,in_place_budget,modest_headroom,/media/volume/danluu-fuzz-data/rtc-coverage-guided-20260515/run-20260522T064303Z,3499,1,413,4436,19,4,,,groups:4->4,4,5,0,0
2026-05-22T07:43:25Z,in_place_budget,pressure,/media/volume/danluu-fuzz-data/rtc-coverage-guided-20260515/run-20260522T064303Z,3622,1,48,4436,12,4,,,groups:4->4,3,4,0,0
2026-05-22T07:49:39Z,in_place_budget,modest_headroom,/media/volume/danluu-fuzz-data/rtc-coverage-guided-20260515/run-20260522T064303Z,3996,1,66,4470,21,5,,,groups:5->5,5,6,0,0
2026-05-22T07:51:43Z,in_place_budget,severe_pressure,/media/volume/danluu-fuzz-data/rtc-coverage-guided-20260515/run-20260522T064303Z,4120,1,190,4470,21,5,,,groups:5->2,1,2,0,0
2026-05-22T07:58:00Z,in_place_budget,modest_headroom,/media/volume/danluu-fuzz-data/rtc-coverage-guided-20260515/run-20260522T064303Z,4497,1,85,4492,18,5,,,groups:5->5,3,4,0,0
2026-05-22T08:00:03Z,in_place_budget,coverage_breadth_floor,/media/volume/danluu-fuzz-data/rtc-coverage-guided-20260515/run-20260522T064303Z,4620,1,208,4492,18,5,,,groups:5->5,5,6,0,0
2026-05-22T08:02:06Z,restart,coverage_breadth_floor,/media/volume/danluu-fuzz-data/rtc-coverage-guided-20260515/run-20260522T064303Z,4743,1,50,4519,27,5,5,5,disabled:3|running:5,7,8,50,27
2026-05-22T08:04:29Z,in_place_budget,headroom,/media/volume/danluu-fuzz-data/rtc-coverage-guided-20260515/run-20260522T080206Z,143,1,193,4519,0,0,,,groups:8->4,3,4,0,0
2026-05-22T08:08:36Z,in_place_budget,coverage_breadth_floor,/media/volume/danluu-fuzz-data/rtc-coverage-guided-20260515/run-20260522T080206Z,390,1,440,4654,2,4,,,groups:8->8,5,6,0,0
2026-05-22T08:14:46Z,in_place_budget,coverage_breadth_floor,/media/volume/danluu-fuzz-data/rtc-coverage-guided-20260515/run-20260522T080206Z,760,1,281,4673,12,5,,,groups:7->7,7,8,0,0
2026-05-22T08:22:59Z,in_place_budget,modest_headroom,/media/volume/danluu-fuzz-data/rtc-coverage-guided-20260515/run-20260522T080206Z,1253,1,336,4708,21,5,,,groups:6->6,6,7,0,0
2026-05-22T08:25:02Z,restart,coverage_breadth_floor,/media/volume/danluu-fuzz-data/rtc-coverage-guided-20260515/run-20260522T080206Z,1376,1,41,4708,24,4,4,4,disabled:5|error:1|paused-startup-stall:1|running:4,8,9,41,24
