timestamp,cpu_utilization,user_pct,system_pct,iowait_pct,steal_pct,idle_pct
2026-05-15T00:10:00Z,27.75,18.86,7.41,1.45,0.04,72.25
2026-05-15T00:20:00Z,31.47,19.42,7.51,4.48,0.07,68.53
2026-05-15T00:30:00Z,52.34,31.20,12.60,8.39,0.15,47.66
2026-05-15T00:40:00Z,55.95,34.30,13.65,7.87,0.13,44.05
2026-05-15T00:50:00Z,46.78,28.11,10.91,7.64,0.12,53.22
2026-05-15T01:00:01Z,11.81,6.87,3.31,1.60,0.02,88.19
2026-05-15T01:10:02Z,13.02,8.03,4.39,0.58,0.02,86.98
2026-05-15T01:20:00Z,15.77,9.97,5.40,0.37,0.03,84.23
2026-05-15T01:30:00Z,16.99,11.28,4.91,0.77,0.02,83.01
2026-05-15T01:40:00Z,16.20,10.76,5.15,0.27,0.02,83.80
2026-05-15T01:50:01Z,29.01,20.15,8.10,0.72,0.03,70.99
2026-05-15T02:00:00Z,40.77,28.23,11.48,1.00,0.06,59.23
2026-05-15T02:10:02Z,49.98,35.09,12.89,1.91,0.09,50.02
2026-05-15T02:20:00Z,40.90,28.25,10.55,2.03,0.07,59.10
2026-05-15T02:30:00Z,34.54,24.68,8.84,0.98,0.04,65.46
2026-05-15T02:40:00Z,37.96,27.42,8.92,1.57,0.05,62.04
2026-05-15T02:50:02Z,41.01,28.48,9.76,2.72,0.06,58.99
2026-05-15T03:00:00Z,40.53,28.04,9.81,2.62,0.06,59.47
2026-05-15T03:10:00Z,53.68,36.39,12.38,4.82,0.09,46.32
2026-05-15T03:20:00Z,56.71,37.61,12.88,6.11,0.11,43.29
2026-05-15T03:30:01Z,59.48,40.05,13.70,5.61,0.12,40.52
2026-05-15T03:40:01Z,13.05,8.57,3.98,0.49,0.02,86.95
2026-05-15T03:50:03Z,14.72,9.58,4.35,0.78,0.02,85.28
2026-05-15T04:00:00Z,15.41,9.92,4.61,0.85,0.02,84.59
2026-05-15T04:10:00Z,14.90,9.91,4.10,0.88,0.02,85.10
2026-05-15T04:20:00Z,12.98,8.31,3.85,0.80,0.01,87.02
2026-05-15T04:30:02Z,14.29,9.00,4.15,1.12,0.02,85.71
2026-05-15T04:40:00Z,13.27,8.45,3.74,1.06,0.01,86.73
2026-05-15T04:50:00Z,16.22,10.21,4.63,1.37,0.02,83.78
2026-05-15T05:00:00Z,15.44,9.65,4.34,1.43,0.02,84.56
2026-05-15T05:10:02Z,28.95,19.34,6.73,2.85,0.03,71.05
2026-05-15T05:20:00Z,36.74,24.24,8.39,4.06,0.04,63.26
2026-05-15T05:30:00Z,30.66,19.86,7.09,3.66,0.05,69.34
