feature_category,keys,total_count,max_count
history,162,398602,18206
operation-ledger,130,263637,14957
invariant,36,218894,15601
action-pair,869,103844,2823
block-depth,76,96677,12937
block,36,87631,15615
action,43,78880,8056
other,93,63962,14372
transport,27,36412,9642
collaborator,4,36296,17189
payload-size,113,31202,2596
fault,6,21684,9950
revision,3,21322,12464
autosave,4,18575,17837
initial-content,15,18206,4696
profile,22,18206,2679
reload,4,18206,5787
save,4,18206,6168
step-count,15,18206,4925
users,6,18206,9395
lifecycle,11,17350,6050
serialized-size,8,15601,5133
real-user,167,8397,1294
code coverage,5615,5785,2
large-document,2,3907,1983
media/cross-entity,9,2804,396
auth,1,901,901
