feature,count,feature_category
profile:table-stale-snapshot-http,4,profile
transport:http,617,transport
transport-profile:http:table-stale-snapshot-http,4,transport
collaborator-mode:distinct-user,1442,collaborator
collaborator-role:editor,1331,collaborator
soft-discovery-bootstrap:true,1040,other
users:2,747,users
initial:freeform-parser-content,125,initial-content
step-count:6,25,step-count
depth:1,470,other
save-count:0,595,save
autosave-count:0,1507,autosave
reload-count:0,638,reload
revision-eligible:false,1069,revision
block:core/freeform,67,block
block:core/heading,876,block
block:core/paragraph,1108,block
action:table-stale-snapshot-html,4,action
fault:delay:delay,742,fault
history:seed:invoke,1512,history
history:create-post:ok,1512,history
history:fault:invoke,894,history
history:action:invoke,1106,history
history-label:action:table-stale-snapshot-html:invoke,4,history
history:action:fail,124,history
history-label:action:table-stale-snapshot-html:fail,4,history
history:seed:fail,941,history
invariant:serialize-parse-current-blocks:ok,1108,invariant
invariant:unique-client-ids:ok,1108,invariant
invariant:non-empty-client-ids:ok,1108,invariant
invariant:inner-blocks-are-arrays:ok,1108,invariant
invariant:no-object-object-strings:ok,1108,invariant
invariant:unexpected-invalid-blocks:ok,942,invariant
invariant:serialize-parse-roundtrip-stable:ok,1108,invariant
invariant:edited-content-matches-block-store:ok,1108,invariant
invariant:cross-page-exact-serialized-content:ok,1108,invariant
invariant:cross-page-canonical-serialized-content:ok,1108,invariant
invariant:cross-page-canonical-edited-content:ok,1108,invariant
invariant:cross-page-exact-edited-content:ok,1108,invariant
operation-ledger-mode:fail,563,operation-ledger
invalid-blocks:0,925,other
total-blocks:4,16,other
serialized-size-log2:8,33,serialized-size
payload-size-profile:table-stale-snapshot-http:8,2,payload-size
payload-size-transport:http:8,6,payload-size
block-depth:core/heading:0,866,block-depth
block-depth:core/paragraph:0,691,block-depth
block-depth:core/freeform:0,72,block-depth
cdp:d9e5f492c5fa7eab,1,code coverage
profile:async-server-blocks,89,profile
transport:ws,895,transport
transport-profile:ws:async-server-blocks,89,transport
initial:validation-fix-content,127,initial-content
step-count:12,312,step-count
depth:2,435,other
block:core/group,489,block
block:core/image,187,block
block:core/quote,324,block
operation-ledger-mode:shadow,949,operation-ledger
total-blocks:10,23,other
serialized-size-log2:11,361,serialized-size
payload-size-profile:async-server-blocks:11,19,payload-size
payload-size-transport:ws:11,124,payload-size
block-depth:core/paragraph:1,513,block-depth
block-depth:core/group:0,496,block-depth
block-depth:core/quote:0,334,block-depth
block-depth:core/image:0,190,block-depth
profile:collaboration-ui-signals,44,profile
transport-profile:ws:collaboration-ui-signals,44,transport
initial:base-seeded,332,initial-content
action:assert-presence-list,33,action
action:assert-remote-cursor,35,action
action-pair:assert-presence-list->assert-remote-cursor,12,action-pair
fault:fail:503,243,fault
history-label:action:assert-presence-list:invoke,33,history
history:presence-list:ok,33,history
history:action:ok,1088,history
history-label:action:assert-presence-list:ok,33,history
history:convergence:ok,1077,history
history-label:action:assert-remote-cursor:invoke,35,history
history-label:action:assert-remote-cursor:fail,34,history
operation-event:assert-ok:any,1077,operation-ledger
total-blocks:3,17,other
payload-size-profile:collaboration-ui-signals:8,20,payload-size
payload-size-transport:ws:8,27,payload-size
cdp:0b0e8ac1b2496ea7,1,code coverage
block:core/list,472,block
block:core/list-item,472,block
fault:fail:500,307,fault
serialized-size-log2:9,127,serialized-size
payload-size-profile:collaboration-ui-signals:9,7,payload-size
payload-size-transport:ws:9,106,payload-size
block-depth:core/list:0,365,block-depth
block-depth:core/list-item:1,365,block-depth
cdp:3821cde5af3fd7fd,1,code coverage
users:3,341,users
lifecycle:late-join:users-3,341,lifecycle
history:late-join:invoke,387,history
history:late-join:ok,360,history
cdp:10b7c5225363775b,1,code coverage
profile:many-user-lifecycle,42,profile
transport-profile:ws:many-user-lifecycle,42,transport
users:0,404,users
step-count:8,97,step-count
depth:0,404,other
step-count:5,96,step-count
profile:persistence-no-title,267,profile
transport-profile:http:persistence-no-title,267,transport
step-count:10,484,step-count
save-count:3,114,save
reload-count:3,281,reload
revision-eligible:true,443,revision
block:core/search,846,block
action:append-paragraph,554,action
action:insert-heading,418,action
action:concurrent-paragraphs,495,action
action:edit-paragraph,359,action
action-pair:append-paragraph->insert-heading,187,action-pair
action-pair:insert-heading->concurrent-paragraphs,139,action-pair
action-pair:concurrent-paragraphs->edit-paragraph,117,action-pair
action-pair:edit-paragraph->append-paragraph,122,action-pair
lifecycle:lifecycle-reload:users-3,190,lifecycle
history-label:action:append-paragraph:invoke,554,history
history-label:action:append-paragraph:ok,554,history
history-label:action:insert-heading:invoke,418,history
history-label:action:insert-heading:ok,418,history
history-label:action:concurrent-paragraphs:invoke,495,history
history-label:action:concurrent-paragraphs:ok,495,history
history:save-checkpoint:invoke,917,history
history:save-checkpoint:ok,846,history
history-label:action:edit-paragraph:invoke,359,history
history-label:action:edit-paragraph:ok,359,history
history:reload:invoke,896,history
history:reload:ok,874,history
history:final-convergence:ok,747,history
history:final-persistence-oracle:invoke,413,history
history:final-persistence-oracle:ok,399,history
history:revision-restore:invoke,733,history
history:revision-restore:ok,571,history
history:seed:ok,571,history
revision-restored:true,281,revision
invariant:final-persistence-live-canonical-convergence:ok,401,invariant
invariant:final-persistence-canonical-content:ok,400,invariant
invariant:final-persistence-title:ok,401,invariant
invariant:final-persistence-crdt-document-present:ok,401,invariant
operation-ledger:active,1050,operation-ledger
operation-ledger-created:8,766,operation-ledger
operation-ledger-live:3,309,operation-ledger
operation-ledger-missing:0,927,operation-ledger
operation-event:witnessed:content,1041,operation-ledger
operation-event-action:witnessed:append-paragraph:content,552,operation-ledger
operation-event-action:witnessed:insert-heading:content,418,operation-ledger
operation-event-action:witnessed:concurrent-paragraphs:content,494,operation-ledger
operation-event-action:witnessed:save-checkpoint:content,845,operation-ledger
operation-event:witnessed:title,890,operation-ledger
operation-event-action:witnessed:save-checkpoint:title,845,operation-ledger
operation-event:invalidated:content,538,operation-ledger
operation-event-action:invalidated:edit-paragraph:content,319,operation-ledger
operation-event-action:witnessed:edit-paragraph:content,358,operation-ledger
operation-event:retired:title,623,operation-ledger
operation-event-action:retired:save-checkpoint:title,599,operation-ledger
operation-event-action:invalidated:revision-restore:content,235,operation-ledger
operation-event:invalidated:title,281,operation-ledger
operation-event-action:invalidated:revision-restore:title,281,operation-ledger
operation-event-action:witnessed:revision-restore:content,281,operation-ledger
operation-event-action:witnessed:revision-restore:title,281,operation-ledger
total-blocks:21,29,other
payload-size-profile:persistence-no-title:11,128,payload-size
payload-size-transport:http:11,237,payload-size
block-depth:core/search:0,849,block-depth
cdp:ed447a6c3dcee1f6,1,code coverage
profile:large-post-three-user-http-lifecycle,96,profile
transport-profile:http:large-post-three-user-http-lifecycle,96,transport
initial:large-document-75,34,initial-content
real-user-action-sequence:,45,real-user
cdp:991d297375ef6a49,1,code coverage
initial:base-2,100,initial-content
block:core/table,305,block
action:ui-table-cell-edit,39,action
action-pair:ui-table-cell-edit->table-stale-snapshot-html,1,action-pair
history-label:action:ui-table-cell-edit:invoke,39,history
history-label:action:ui-table-cell-edit:ok,39,history
operation-ledger-created:1,64,operation-ledger
operation-ledger-live:1,124,operation-ledger
operation-event-action:witnessed:ui-table-cell-edit:content,39,operation-ledger
total-blocks:11,48,other
serialized-size-log2:10,348,serialized-size
payload-size-profile:table-stale-snapshot-http:10,1,payload-size
payload-size-transport:http:10,190,payload-size
block-depth:core/table:0,311,block-depth
cdp:097bd73e09c51f69,1,code coverage
initial:html-entity-reference,122,initial-content
invariant:unexpected-invalid-blocks:observed,182,invariant
invariant-signal:unexpected-invalid-blocks,183,invariant
invalid-blocks:3,68,other
total-blocks:6,102,other
payload-size-profile:table-stale-snapshot-http:9,1,payload-size
payload-size-transport:http:9,21,payload-size
cdp:07b9f9e716c260dc,1,code coverage
profile:session-lifecycle,205,profile
transport-profile:http:session-lifecycle,170,transport
action:edit-title,184,action
action-pair:edit-title->append-paragraph,130,action-pair
action-pair:append-paragraph->edit-title,132,action-pair
action-pair:edit-title->concurrent-paragraphs,130,action-pair
action-pair:concurrent-paragraphs->edit-title,132,action-pair
lifecycle:lifecycle-reload:users-2,229,lifecycle
history-label:action:edit-title:invoke,184,history
history-label:action:edit-title:ok,184,history
history:revision-restore:fail,162,history
operation-ledger-live:8,318,operation-ledger
operation-event-action:witnessed:edit-title:title,184,operation-ledger
operation-event-action:retired:edit-title:title,154,operation-ledger
total-blocks:16,49,other
payload-size-profile:session-lifecycle:11,76,payload-size
cdp:144b1a766aa63573,1,code coverage
cdp:281406bd5a60078f,1,code coverage
cdp:16807a71a6ea401a,1,code coverage
