bucket,source,blocker_class,events,targets
2026-05-17T05:00:00Z,critical-path launches,PR07C owner evidence,1,ready-rtc-pr07c-reload-record-snapshots
2026-05-17T05:00:00Z,critical-path launches,critical-path launch,3,ready-rtc-pr15c-fallback-group-delete-green-on-pr14b; ready-rtc-pr15a-fallback-group-move-green-on-pr14b; ready-rtc-pr15b-fallback-group-insert-anchor-green-on-pr14b
2026-05-17T05:00:00Z,critical-path launches,deferred-family validation,2,deferred-rtc-reload-hydration-20260517t045710z; deferred-rtc-reload-hydration-20260517t035704z
2026-05-17T05:00:00Z,critical-path launches,seed reducer/final-stack,1,pr17-1020002
2026-05-17T05:30:00Z,critical-path launches,PR07C owner evidence,1,ready-rtc-pr07c-reload-record-snapshots
2026-05-17T05:30:00Z,critical-path launches,critical-path launch,7,ready-rtc-pr14b-table-query-array-local-suffix-append; ready-rtc-pr06b-malformed-save-request-payload-minimal; ready-rtc-pr15c-fallback-group-delete-green-on-pr14b; ready-rtc-pr15a-fallback-group-move-green-on-pr14b; ready-rtc-pr15b-fallback-group-insert-anchor-green-on-pr14b
2026-05-17T05:30:00Z,critical-path launches,deferred-family validation,22,deferred-rtc-reload-hydration-20260517t042707z; deferred-rtc-http-room-isolation-20260517t023739z; deferred-rtc-pre-save-search-live-collapse-20260517t022131z; deferred-rtc-rich-text-suffix-corruption-20260517t022133z; deferred-rtc-malformed-save-payload-20260517t012122z
2026-05-17T05:30:00Z,critical-path launches,seed reducer/final-stack,5,seed-5200005-reducer; seed-1060015-reducer; pr17-1020002
2026-05-17T06:00:00Z,critical-path launches,PR07C owner evidence,2,ready-rtc-pr07c-reload-record-snapshots
2026-05-17T06:00:00Z,critical-path launches,critical-path launch,10,ready-rtc-pr15c-fallback-group-delete-green-on-pr14b; ready-rtc-pr15a-fallback-group-move-green-on-pr14b; ready-rtc-pr15b-fallback-group-insert-anchor-green-on-pr14b; ready-rtc-pr14b-table-query-array-local-suffix-append; ready-rtc-pr06b-malformed-save-request-payload-minimal
2026-05-17T06:00:00Z,critical-path launches,deferred-family validation,25,deferred-rtc-reload-hydration-20260517t045710z; deferred-rtc-reload-hydration-20260517t035704z; deferred-rtc-reload-hydration-20260517t042707z; deferred-rtc-http-room-isolation-20260517t023739z; deferred-rtc-pre-save-search-live-collapse-20260517t022131z
2026-05-17T06:00:00Z,critical-path launches,seed reducer/final-stack,6,pr17-1020002; seed-5200005-reducer; seed-1060015-reducer
2026-05-17T06:30:00Z,critical-path launches,PR07C owner evidence,3,ready-rtc-pr07c-reload-record-snapshots
2026-05-17T06:30:00Z,critical-path launches,critical-path launch,15,ready-rtc-pr15c-fallback-group-delete-green-on-pr14b; ready-rtc-pr15a-fallback-group-move-green-on-pr14b; ready-rtc-pr15b-fallback-group-insert-anchor-green-on-pr14b; ready-rtc-pr14b-table-query-array-local-suffix-append; ready-rtc-pr06b-malformed-save-request-payload-minimal
2026-05-17T06:30:00Z,critical-path launches,deferred-family validation,30,deferred-rtc-reload-hydration-20260517t045710z; deferred-rtc-reload-hydration-20260517t035704z; deferred-rtc-reload-hydration-20260517t042707z; deferred-rtc-http-room-isolation-20260517t023739z; deferred-rtc-pre-save-search-live-collapse-20260517t022131z
2026-05-17T06:30:00Z,critical-path launches,seed reducer/final-stack,6,pr17-1020002; seed-5200005-reducer; seed-1060015-reducer
2026-05-17T07:00:00Z,critical-path launches,PR07C owner evidence,2,ready-rtc-pr07c-reload-record-snapshots
2026-05-17T07:00:00Z,critical-path launches,critical-path launch,10,ready-rtc-pr15c-fallback-group-delete-green-on-pr14b; ready-rtc-pr15a-fallback-group-move-green-on-pr14b; ready-rtc-pr15b-fallback-group-insert-anchor-green-on-pr14b; ready-rtc-pr14b-table-query-array-local-suffix-append; ready-rtc-pr06b-malformed-save-request-payload-minimal
2026-05-17T07:00:00Z,critical-path launches,deferred-family validation,24,deferred-rtc-reload-hydration-20260517t055716z; deferred-rtc-reload-hydration-20260517t045710z; deferred-rtc-reload-hydration-20260517t035704z; deferred-rtc-reload-hydration-20260517t065722z; deferred-rtc-reload-hydration-20260517t042707z
2026-05-17T07:00:00Z,critical-path launches,seed reducer/final-stack,6,pr17-1020002; seed-5200005-reducer; seed-1060015-reducer
2026-05-17T07:30:00Z,critical-path launches,PR07C owner evidence,2,ready-rtc-pr07c-reload-record-snapshots
2026-05-17T07:30:00Z,critical-path launches,critical-path launch,12,ready-rtc-pr03b-browser-revision-restore-crdt-invalidation; ready-rtc-pr15c-fallback-group-delete-green-on-pr14b; ready-rtc-pr15a-fallback-group-move-green-on-pr14b; ready-rtc-pr15b-fallback-group-insert-anchor-green-on-pr14b; ready-rtc-pr14b-table-query-array-local-suffix-append
2026-05-17T07:30:00Z,critical-path launches,deferred-family validation,23,deferred-rtc-reload-hydration-20260517t055716z; deferred-rtc-reload-hydration-20260517t045710z; deferred-rtc-reload-hydration-20260517t035704z; deferred-rtc-reload-hydration-20260517t065722z; deferred-rtc-reload-hydration-20260517t042707z
2026-05-17T07:30:00Z,critical-path launches,seed reducer/final-stack,6,pr17-1020002; seed-5200005-reducer; seed-1060015-reducer
2026-05-17T08:00:00Z,critical-path launches,PR07C owner evidence,2,ready-rtc-pr07c-reload-record-snapshots
2026-05-17T08:00:00Z,critical-path launches,critical-path launch,12,ready-rtc-pr03b-browser-revision-restore-crdt-invalidation; ready-rtc-pr15c-fallback-group-delete-green-on-pr14b; ready-rtc-pr15a-fallback-group-move-green-on-pr14b; ready-rtc-pr15b-fallback-group-insert-anchor-green-on-pr14b; ready-rtc-pr14b-table-query-array-local-suffix-append
2026-05-17T08:00:00Z,critical-path launches,deferred-family validation,22,deferred-rtc-reload-hydration-20260517t055716z; deferred-rtc-reload-hydration-20260517t045710z; deferred-rtc-reload-hydration-20260517t035704z; deferred-rtc-reload-hydration-20260517t065722z; deferred-rtc-reload-hydration-20260517t042707z
2026-05-17T08:00:00Z,critical-path launches,seed reducer/final-stack,6,pr17-1020002; seed-5200005-reducer; seed-1060015-reducer
2026-05-17T08:30:00Z,critical-path launches,PR07C owner evidence,2,ready-rtc-pr07c-reload-record-snapshots
2026-05-17T08:30:00Z,critical-path launches,critical-path launch,12,ready-rtc-pr03b-browser-revision-restore-crdt-invalidation; ready-rtc-pr15c-fallback-group-delete-green-on-pr14b; ready-rtc-pr15a-fallback-group-move-green-on-pr14b; ready-rtc-pr15b-fallback-group-insert-anchor-green-on-pr14b; ready-rtc-pr14b-table-query-array-local-suffix-append
2026-05-17T08:30:00Z,critical-path launches,deferred-family validation,21,deferred-rtc-reload-hydration-20260517t055716z; deferred-rtc-reload-hydration-20260517t045710z; deferred-rtc-reload-hydration-20260517t035704z; deferred-rtc-reload-hydration-20260517t065722z; deferred-rtc-reload-hydration-20260517t042707z
2026-05-17T08:30:00Z,critical-path launches,seed reducer/final-stack,6,pr17-1020002; seed-5200005-reducer; seed-1060015-reducer
2026-05-17T09:00:00Z,critical-path launches,PR07C owner evidence,2,ready-rtc-pr07c-reload-record-snapshots
