source_branch,source_commit,intended_danluu_branch,base_ref,files_changed,insertions,deletions,validation_summary,reason,net_loc,branch_short
ready/rtc-pr06b-malformed-save-request-payload,87e0ed20ab8e,danluu/rtc-pr-progress-rtc-pr06b-malformed-save-request-payload,ready/rtc-pr06a-persisted-empty-content-guard,4,299,8,critical-path diff check passed; controller prioritized product PR publication,/media/volume/danluu-fuzz-data/rtc-critical-path-pr-executor-20260517/runs/20260517T145219Z/validations/branch-ready-rtc-pr06b-malformed-save-request-payload/report.md,291,"pr06b malformed save request
payload"
ready/rtc-pr06b-malformed-save-request-payload-minimal,7b123e0ef233,danluu/rtc-pr-progress-rtc-pr06b-malformed-save-request-payload-minimal,ready/rtc-pr06a-persisted-empty-content-guard,2,272,4,critical-path diff check passed; controller prioritized product PR publication,/media/volume/danluu-fuzz-data/rtc-critical-path-pr-executor-20260517/runs/20260517T150633Z/validations/branch-ready-rtc-pr06b-malformed-save-request-payload-minimal/report.md,268,"pr06b malformed save request
payload minimal"
ready/rtc-pr07c-reload-record-snapshots,025c7638361f,danluu/rtc-pr-progress-rtc-pr07c-reload-record-snapshots,ready/rtc-pr07b-save-response-manager-base-record,6,348,32,critical-path diff check passed; controller prioritized product PR publication,/media/volume/danluu-fuzz-data/rtc-critical-path-pr-executor-20260517/runs/20260517T150048Z/validations/branch-ready-rtc-pr07c-reload-record-snapshots/report.md,316,pr07c reload record snapshots
ready/rtc-pr14b-table-query-array-local-suffix-append,c3d45173ed99,danluu/rtc-pr-progress-rtc-pr14b-table-query-array-local-suffix-append,ready/rtc-pr14-table-body-array-green,2,143,3,critical-path diff check passed; controller prioritized product PR publication,/media/volume/danluu-fuzz-data/rtc-critical-path-pr-executor-20260517/runs/20260517T150048Z/validations/branch-ready-rtc-pr14b-table-query-array-local-suffix-append/report.md,140,"pr14b table query array local
suffix append"
ready/rtc-pr15a-fallback-group-move-green,76a45dafd157,danluu/rtc-pr-progress-rtc-pr15a-fallback-group-move-green,ready/rtc-pr14b-table-query-array-local-suffix-append,3,110,143,critical-path diff check passed; controller prioritized product PR publication,/media/volume/danluu-fuzz-data/rtc-critical-path-pr-executor-20260517/runs/20260517T150634Z/validations/branch-ready-rtc-pr15a-fallback-group-move-green/report.md,-33,pr15a fallback group move green
ready/rtc-pr15a-fallback-group-move-green-on-pr14b,125b5d030d8c,danluu/rtc-pr-progress-rtc-pr15a-fallback-group-move-green-on-pr14b,ready/rtc-pr14b-table-query-array-local-suffix-append,2,107,0,critical-path diff check passed; controller prioritized product PR publication,/media/volume/danluu-fuzz-data/rtc-critical-path-pr-executor-20260517/runs/20260517T150048Z/validations/branch-ready-rtc-pr15a-fallback-group-move-green-on-pr14b/report.md,107,"pr15a fallback group move green on
pr14b"
ready/rtc-pr15b-fallback-group-insert-anchor-green,34af1b4f9430,danluu/rtc-pr-progress-rtc-pr15b-fallback-group-insert-anchor-green,ready/rtc-pr15a-fallback-group-move-green-on-pr14b,3,175,143,critical-path diff check passed; controller prioritized product PR publication,/media/volume/danluu-fuzz-data/rtc-critical-path-pr-executor-20260517/runs/20260517T150634Z/validations/branch-ready-rtc-pr15b-fallback-group-insert-anchor-green/report.md,32,"pr15b fallback group insert anchor
green"
ready/rtc-pr15b-fallback-group-insert-anchor-green-on-pr14b,acb367667da1,danluu/rtc-pr-progress-rtc-pr15b-fallback-group-insert-anchor-green-on-pr14b,ready/rtc-pr15a-fallback-group-move-green-on-pr14b,2,172,0,critical-path diff check passed; controller prioritized product PR publication,/media/volume/danluu-fuzz-data/rtc-critical-path-pr-executor-20260517/runs/20260517T150048Z/validations/branch-ready-rtc-pr15b-fallback-group-insert-anchor-green-on-pr14b/report.md,172,"pr15b fallback group insert anchor
green on pr14b"
ready/rtc-pr15c-fallback-group-delete-green,921f093cc47b,danluu/rtc-pr-progress-rtc-pr15c-fallback-group-delete-green,ready/rtc-pr15b-fallback-group-insert-anchor-green-on-pr14b,3,120,143,critical-path diff check passed; controller prioritized product PR publication,/media/volume/danluu-fuzz-data/rtc-critical-path-pr-executor-20260517/runs/20260517T145219Z/validations/branch-ready-rtc-pr15c-fallback-group-delete-green/report.md,-23,pr15c fallback group delete green
ready/rtc-pr15c-fallback-group-delete-green-on-pr14b,8decb9081f9f,danluu/rtc-pr-progress-rtc-pr15c-fallback-group-delete-green-on-pr14b,ready/rtc-pr15b-fallback-group-insert-anchor-green-on-pr14b,2,117,0,critical-path diff check passed; controller prioritized product PR publication,/media/volume/danluu-fuzz-data/rtc-critical-path-pr-executor-20260517/runs/20260517T150048Z/validations/branch-ready-rtc-pr15c-fallback-group-delete-green-on-pr14b/report.md,117,"pr15c fallback group delete green
on pr14b"
