profile,records_seen,successful_records,startup_failures,success_rate,profile_family
three-user-late-join,11639,3933,0,0.3379156284904201,lifecycle
session-lifecycle,9555,2743,0,0.2870748299319728,lifecycle
async-server-blocks,9409,4479,0,0.47603358486555425,async/media
real-user-editing,8970,613,0,0.06833890746934225,real-user
permissions-auth-locks,8008,3802,0,0.47477522477522477,auth/locks
block-gauntlet,7230,1344,0,0.18589211618257262,block-structure
revision-persistence,6796,289,0,0.04252501471453796,persistence
parser-transform,5332,564,0,0.10577644411102775,parser
common-blocks,4867,502,0,0.10314362029997945,block-structure
parser-serialization,4094,253,0,0.06179775280898876,parser
long-session-large-doc,4072,596,0,0.14636542239685657,lifecycle
multi-reload-lifecycle,4069,163,0,0.04005898255099533,lifecycle
persistence-no-title,4056,1478,0,0.36439842209072976,persistence
full,840,18,0,0.02142857142857143,block-structure
structure,541,96,0,0.17744916820702403,block-structure
media-cross-entity,522,163,0,0.31226053639846746,async/media
