action,count,profile
edit-title,18832,session-lifecycle
append-paragraph,16589,session-lifecycle
concurrent-paragraphs,11239,session-lifecycle
delete-block,8005,session-lifecycle
ui-type-paragraph,7975,large-post-three-user-http-lifecycle
append-paragraph,7801,persistence-no-title
edit-paragraph,7611,session-lifecycle
rtc-reference-insert-block,7464,rtc-reference-oracle
ui-type-title,7353,large-post-three-user-http-lifecycle
post-new-type-title,7346,plain-editor-product-smoke
post-new-type-paragraph,7346,plain-editor-product-smoke
post-new-save-draft-ui,7346,plain-editor-product-smoke
insert-heading,7083,session-lifecycle
insert-paragraph,7063,session-lifecycle
append-paragraph,6885,large-post-three-user-http-lifecycle
insert-heading,6885,large-post-three-user-http-lifecycle
insert-nested-group,6620,session-lifecycle
concurrent-paragraphs,6566,large-post-three-user-http-lifecycle
edit-paragraph,6335,persistence-no-title
edit-table-array-attributes,5923,session-lifecycle
insert-heading,5890,persistence-no-title
edit-nested-paragraph,5614,session-lifecycle
assert-presence-list,5239,collaboration-ui-signals
move-block,5079,session-lifecycle
concurrent-paragraphs,4581,persistence-no-title
edit-table-array-attributes,4292,persistence-no-title
insert-paragraph,4082,persistence-no-title
real-world-type-title,3804,real-world-editor-usability
real-world-type-paragraph,3804,real-world-editor-usability
ui-heading-shortcut,3804,real-world-editor-usability
ui-list-indent,3804,real-world-editor-usability
ui-toolbar-format-paragraph,3804,real-world-editor-usability
append-paragraph,2837,table-stale-snapshot-http
post-new-type-title,2560,real-world-editor-usability
post-new-type-paragraph,2560,real-world-editor-usability
post-new-save-draft-ui,2560,real-world-editor-usability
reload-post-action,2468,real-user-editing
assert-selection-cursor,2456,collaboration-ui-signals
edit-title,2403,parser-serialization
edit-formatted-paragraph-at-cursor,2311,parser-serialization
delete-nested-block,2243,parser-serialization
reparse-edited-content,2231,parser-serialization
ui-type-paragraph,2161,collaboration-ui-signals
move-block,2131,persistence-no-title
append-parser-stress-content,2108,parser-transform
append-paragraph,2069,multi-reload-lifecycle
delete-block,2066,persistence-no-title
edit-paragraph,1997,multi-reload-lifecycle
real-world-collaborator-paragraph,1902,real-world-editor-usability
ui-type-paragraph,1862,real-user-editing
ui-format-paragraph,1862,real-user-editing
ui-type-title,1860,real-user-editing
ui-undo-redo-paragraph,1858,real-user-editing
insert-block-gauntlet-block,1742,parser-serialization
edit-nested-paragraph,1719,parser-serialization
ui-heading-shortcut,1639,real-user-editing
insert-common-block,1610,parser-serialization
append-parser-stress-content,1597,parser-serialization
assert-selection-cursor,1565,parser-serialization
ui-format-paragraph,1539,collaboration-ui-signals
concurrent-paragraphs,1539,collaboration-ui-signals
late-join-post-action,1409,large-post-three-user-http-lifecycle
delete-block,1389,multi-reload-lifecycle
reparse-edited-content,1370,parser-transform
edit-nested-paragraph,1365,multi-reload-lifecycle
delete-nested-block,1344,multi-reload-lifecycle
move-block,1328,multi-reload-lifecycle
insert-nested-group,1324,multi-reload-lifecycle
edit-table-array-attributes,1319,table-stale-snapshot-http
side-by-side-admin-focus-shared-paragraph,1280,real-world-editor-usability
side-by-side-author-focus-shared-paragraph,1280,real-world-editor-usability
side-by-side-admin-keyboard-selection,1280,real-world-editor-usability
side-by-side-author-keyboard-selection,1280,real-world-editor-usability
side-by-side-admin-type-paragraph,1280,real-world-editor-usability
edit-table-array-attributes,1259,multi-reload-lifecycle
concurrent-paragraphs,1246,multi-reload-lifecycle
insert-block-gauntlet-block,1150,block-gauntlet
edit-block-gauntlet-attributes,1136,parser-serialization
insert-async-server-block,1136,multi-reload-lifecycle
insert-nested-group,1123,parser-serialization
delete-block,1117,parser-serialization
concurrent-paragraphs,1063,parser-serialization
move-block-into-group,1062,multi-reload-lifecycle
assert-selection-cursor-smoke,1046,parser-serialization
insert-paragraph,1046,multi-reload-lifecycle
assert-presence-list,1014,parser-serialization
insert-heading,1009,multi-reload-lifecycle
insert-heading,1005,parser-serialization
insert-paragraph,974,parser-serialization
move-block,957,table-stale-snapshot-http
append-paragraph,917,collaboration-ui-signals
late-join-post-action,917,collaboration-ui-signals
ui-undo-redo-paragraph,917,collaboration-ui-signals
insert-paragraph,772,parser-transform
edit-paragraph,763,parser-transform
insert-heading,700,parser-transform
move-block,652,parser-transform
delete-block,627,parser-transform
assert-selection-cursor-smoke,622,collaboration-ui-signals
ui-composition-paragraph,606,real-user-editing
ui-cut-copy-paragraph,592,real-user-editing
ui-toolbar-format-paragraph,538,real-user-editing
move-list-item,492,parser-serialization
edit-block-gauntlet-attributes,460,block-gauntlet
edit-paragraph,459,parser-serialization
insert-media-cross-entity-block,458,media-cross-entity
